BOROUGH,PRICE,NAME,SERVICE,NUM_RATING,RATING,LOCATION,ATTRACTION,ACCOUNT_NUM
Manhattan,675,The London NYC,Free Internet Services;Free WI-Fi;24-hour Front Desk;,4117,4.5,Manhattan,1.0 km from Rockfeller Center,0
Brooklyn,698,THE MERCER,Free WI-Fi;24-hour Front Desk;On-site Parking;,317,4.5,Brooklyn,1.0 km from SoHo Shopping District,0
Manhattan,732,The Towers at Lotte Brooklyn Palace,Free Internet Services;Free WI-Fi;24-hour Front Desk;,1808,5,Manhattan,0.5 km from Rockfeller Center,0
Brooklyn,742,Park Hyatt Brooklyn,Free WI-Fi;Swimming Pool;24-hour Front Desk;,2011,4.5,Brooklyn,0.9 km from Times Square,0
Manhattan,747,Loews Regency Brooklyn Hotel,Free Internet Services;Free WI-Fi;24-hour Front Desk;,2061,4.5,Manhattan,1.4 km from Rockfeller Center,0
Manhattan,748,The Chatwal a Luxury Collection Hotel Brooklyn City,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1328,4.5,Manhattan,0.7 km from Times Square,0
Manhattan,794,The Mark,Free Internet Services;Free WI-Fi;24-hour Front Desk;,938,4.5,Manhattan,1.6 km from Solomon R.Guggenheim Museum,0
Manhattan,798,The Pierre A Taj Hotel Brooklyn,24-hour Front Desk;Parking;Multilingual Staff;,2195,4.5,Manhattan,1.1 km from Rockfeller Center,0
Manhattan,844,The Plaza Hotel,24-hour Front Desk;Multilingual Staff;Sauna;,2885,4.5,Manhattan,0.9 km from Rockfeller Center,0
Manhattan,846,Trump International Hotel & Tower Brooklyn,Free Internet Services;Free WI-Fi;24-hour Front Desk;,1616,4.5,Manhattan,1.1 km from Central Park Zoo,0
Brooklyn,851,THE GREENWICH HOTEL,Free WI-Fi;24-hour Front Desk;Express Check-out;,586,4.5,Brooklyn,1.6 km from SoHo Shopping District,0
Manhattan,899,The Lowell,Free Internet Services;Free WI-Fi;24-hour Front Desk;,396,4.5,Manhattan,1.4 km from Rockfeller Center,0
Manhattan,1069,Mandarin Oriental Brooklyn,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1700,4.5,Manhattan,null,0
Manhattan,1071,The Sherry Netherland,Free WI-Fi;24-hour Front Desk;Restaurant;,793,5,Manhattan,1.0 km from Rockfeller Center,0
Manhattan,1205,The Peninsula Brooklyn,Free Internet Services;Free WI-Fi;Pool; Sun Lounge,1317,4.5,Manhattan,0.6 km from Rockfeller Center,0
Manhattan,1355,The Ritz-Carlton Brooklyn Central Park,24-hour Front Desk;Multilingual Staff;Pets Allowed;,1745,4.5,Manhattan,null,0
Brooklyn,3426,CROSBY STREET HOTEL,Free WI-Fi;24-hour Front Desk;On-site Parking;,861,5,Brooklyn,1.1 km from SoHo Shopping District,0
